Feature,Missing Count,Missing Percentage
上市加權指數10天成交量波動度,200864,1.0
上市加權指數20天成交量波動度,200864,1.0
上市加權指數5天成交量波動度,200864,1.0
上市加權指數前10天成交量,200864,1.0
上市加權指數前11天成交量,200864,1.0
上市加權指數前12天成交量,200864,1.0
上市加權指數前13天成交量,200864,1.0
上市加權指數前14天成交量,200864,1.0
上市加權指數前15天成交量,200864,1.0
上市加權指數前16天成交量,200864,1.0
上市加權指數前17天成交量,200864,1.0
上市加權指數前18天成交量,200864,1.0
上市加權指數前19天成交量,200864,1.0
上市加權指數前1天成交量,200864,1.0
上市加權指數前20天成交量,200864,1.0
上市加權指數前2天成交量,200864,1.0
上市加權指數前3天成交量,200864,1.0
上市加權指數前4天成交量,200864,1.0
上市加權指數前5天成交量,200864,1.0
上市加權指數前6天成交量,200864,1.0
上市加權指數前7天成交量,200864,1.0
上市加權指數前8天成交量,200864,1.0
上市加權指數前9天成交量,200864,1.0
上市加權指數成交量,200864,1.0
個股10天成交量波動度,200864,1.0
個股20天成交量波動度,200864,1.0
個股5天成交量波動度,200864,1.0
個股前10天成交量,200864,1.0
個股前11天成交量,200864,1.0
個股前12天成交量,200864,1.0
個股前13天成交量,200864,1.0
個股前14天成交量,200864,1.0
個股前15天成交量,200864,1.0
個股前16天成交量,200864,1.0
個股前17天成交量,200864,1.0
個股前18天成交量,200864,1.0
個股前19天成交量,200864,1.0
個股前1天成交量,200864,1.0
個股前20天成交量,200864,1.0
個股前2天成交量,200864,1.0
個股前3天成交量,200864,1.0
個股前4天成交量,200864,1.0
個股前5天成交量,200864,1.0
個股前6天成交量,200864,1.0
個股前7天成交量,200864,1.0
個股前8天成交量,200864,1.0
個股前9天成交量,200864,1.0
個股成交量,200864,1.0
季IFRS財報_固定資產週轉率(次),200864,1.0
季IFRS財報_固定資產週轉率累季(次),200864,1.0
季IFRS財報_存貨週轉率(次),200864,1.0
季IFRS財報_存貨週轉率累季(次),200864,1.0
季IFRS財報_應付款項週轉率(次),200864,1.0
